
Loading checkpoint: checkpoints\SpaceInvadersNoFrameskip-v4_YourRunName_14k.pth
Episode 1/100 score: 325.00
Episode 2/100 score: 255.00
Episode 3/100 score: 250.00
Episode 4/100 score: 185.00
Episode 5/100 score: 350.00
Episode 6/100 score: 310.00
Episode 7/100 score: 160.00
Episode 8/100 score: 285.00
Episode 9/100 score: 190.00
Episode 10/100 score: 640.00
Episode 11/100 score: 340.00
Episode 12/100 score: 410.00
Episode 13/100 score: 45.00
Episode 14/100 score: 270.00
Episode 15/100 score: 775.00
Episode 16/100 score: 140.00
Episode 17/100 score: 140.00
Episode 18/100 score: 180.00
Episode 19/100 score: 40.00
Episode 20/100 score: 255.00
Episode 21/100 score: 260.00
Episode 22/100 score: 290.00
Episode 23/100 score: 285.00
Episode 24/100 score: 240.00
Episode 25/100 score: 205.00
Episode 26/100 score: 225.00
Episode 27/100 score: 210.00
Episode 28/100 score: 235.00
Episode 29/100 score: 195.00
Episode 30/100 score: 310.00
Episode 31/100 score: 250.00
Episode 32/100 score: 190.00
Episode 33/100 score: 175.00
Episode 34/100 score: 55.00
Episode 35/100 score: 300.00
Episode 36/100 score: 185.00
Episode 37/100 score: 205.00
Episode 38/100 score: 250.00
Episode 39/100 score: 300.00
Episode 40/100 score: 155.00
Episode 41/100 score: 330.00
Episode 42/100 score: 210.00
Episode 43/100 score: 235.00
Episode 44/100 score: 175.00
Episode 45/100 score: 570.00
Episode 46/100 score: 260.00
Episode 47/100 score: 180.00
Episode 48/100 score: 55.00
Episode 49/100 score: 215.00
Episode 50/100 score: 565.00
Episode 51/100 score: 135.00
Episode 52/100 score: 220.00
Episode 53/100 score: 155.00
Episode 54/100 score: 405.00
Episode 55/100 score: 310.00
Episode 56/100 score: 575.00
Episode 57/100 score: 290.00
Episode 58/100 score: 175.00
Episode 59/100 score: 340.00
Episode 60/100 score: 95.00
Episode 61/100 score: 140.00
Episode 62/100 score: 110.00
Episode 63/100 score: 70.00
Episode 64/100 score: 290.00
Episode 65/100 score: 365.00
Episode 66/100 score: 440.00
Episode 67/100 score: 290.00
Episode 68/100 score: 195.00
Episode 69/100 score: 140.00
Episode 70/100 score: 95.00
Episode 71/100 score: 355.00
Episode 72/100 score: 85.00
Episode 73/100 score: 185.00
